Player,Split,Team,GP,GS,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS
Semaj Christon,G League Regular Season Stats,OKC,48,44,35.2,6.8,15.8,.430,0.3,1.1,.269,4.8,6.0,.786,0.8,2.9,3.7,5.6,1.6,0.2,2.4,3.2,18.6
Luke Babbitt,G League Regular Season Stats,IDA,17,12,30.1,7.1,14.1,.500,1.4,3.5,.407,4.7,5.4,.870,2.2,5.4,7.6,1.8,0.9,0.5,2.4,1.8,20.2
Miles Plumlee,G League Regular Season Stats,All Teams,17,14,28.7,4.6,10.1,.456,0.0,0.0,.000,1.1,2.1,.500,3.3,6.1,9.4,1.1,0.8,1.8,2.6,2.5,10.2
Shane Larkin,G League Regular Season Stats,TEX,4,3,35.7,5.5,11.8,.468,2.0,3.5,.571,2.2,2.8,.818,0.5,4.8,5.2,8.2,2.0,0.0,2.2,3.5,15.2
Abdel Nader,G League Regular Season Stats,MNE,44,44,33.8,7.3,16.5,.444,2.5,7.0,.353,4.1,5.2,.798,0.8,5.4,6.1,3.7,1.0,0.9,2.5,3.6,21.3
Guerschon Yabusele,G League Regular Season Stats,MNE,10,9,31.8,7.4,14.2,.521,1.8,5.1,.353,4.2,5.1,.824,2.5,5.3,7.8,2.3,1.1,1.1,3.0,3.3,20.8
Marcus Morris,G League Regular Season Stats,RGV,11,9,30.0,7.7,16.9,.457,1.1,4.3,.255,4.2,5.7,.730,2.6,5.6,8.3,1.1,1.3,0.5,2.3,2.4,20.7
Quincy Acy,G League Regular Season Stats,All Teams,25,22,30.1,5.4,10.0,.538,0.7,2.0,.347,3.6,4.8,.742,2.0,5.9,7.9,1.2,1.0,1.3,3.4,2.6,15.0
Joe Harris,G League Regular Season Stats,CAN,21,21,32.3,5.2,13.3,.394,1.9,6.4,.291,2.9,3.8,.759,1.3,4.0,5.3,3.0,0.9,0.2,3.1,2.3,15.2
Sean Kilpatrick,G League Regular Season Stats,All Teams,72,53,32.0,6.6,14.5,.452,2.4,6.2,.382,3.3,4.0,.810,0.5,2.9,3.5,2.0,1.0,0.1,1.2,1.9,18.8
Jeremy Lin,G League Regular Season Stats,All Teams,21,11,32.3,6.4,13.4,.480,0.7,1.9,.359,5.0,6.8,.732,1.4,4.6,6.0,4.7,2.0,0.3,2.6,2.8,18.5
Treveon Graham,G League Regular Season Stats,IDA,46,20,30.4,5.7,12.3,.460,1.5,4.5,.330,2.9,4.7,.622,1.6,4.5,6.1,1.6,0.8,0.2,2.6,1.4,15.7
Jeremy Lamb,G League Regular Season Stats,TUL,21,21,32.8,8.0,16.4,.490,1.8,5.0,.352,3.1,3.6,.880,1.5,3.8,5.3,3.0,1.2,0.8,2.0,2.5,21.0
Johnny OBryant,G League Regular Season Stats,NAS,25,25,32.2,6.9,15.3,.450,1.1,3.0,.373,3.2,4.2,.779,2.4,6.2,8.6,1.6,1.0,0.6,4.0,2.1,18.1
Julyan Stone,G League Regular Season Stats,All Teams,46,37,31.7,2.5,6.7,.375,1.0,3.1,.329,1.3,2.0,.674,0.7,5.0,5.7,7.8,1.3,0.8,2.6,2.6,7.4
Justin Holiday,G League Regular Season Stats,All Teams,48,43,34.7,6.2,14.8,.422,1.7,4.1,.414,3.3,4.1,.810,1.2,4.1,5.3,2.5,2.4,1.2,2.0,2.0,17.5
